region_code,avg_high,avg_mean,avg_low,avg_rain,avg_sunshine,avg_speed
RU,-98.44295302013423,-132.8523489932886,-165.19463087248323,6.5,,65.875
IL,171.4,130.0,88.8,0.0,,
NO,-28.299319727891156,-52.87074829931973,-72.6734693877551,1.1094890510948905,1.6666666666666667,25.510416666666668
IT,101.5,62.25,22.75,8.666666666666666,,
DK,27.5,15.0,2.5,4.75,,
AL,99.0,45.5,-8.0,0.0,,
RO,-11.785714285714286,-35.785714285714285,-53.142857142857146,0.07142857142857142,,10.88888888888889
GB,60.6,29.266666666666666,12.933333333333334,38.42857142857143,,
AM,9.5,-8.0,-20.0,30.5,,
ES,142.1304347826087,103.69565217391305,65.34782608695652,28.652173913043477,24.65,19.227272727272727
EE,-24.11111111111111,-36.111111111111114,-48.55555555555556,2.0,0.0,25.555555555555557
CH,1.3333333333333333,-29.333333333333332,-49.0,0.0,13.666666666666666,11.0
AZ,66.0,44.0,39.0,7.0,,
TM,68.0,38.0,17.0,2.0,,
SK,-23.5,-64.5,-130.5,0.0,55.0,23.5
GL,-59.22222222222222,-104.11111111111111,-147.22222222222223,3.6,,56.666666666666664
UA,-28.272727272727273,-40.27272727272727,-53.36363636363637,0.8181818181818182,,15.0
DZ,162.0,117.0,60.0,,,
KZ,-53.4,-91.0,-137.4,14.2,,
DE,-9.461538461538462,-26.512820512820515,-40.41025641025641,0.22608695652173913,8.242424242424242,15.318181818181818
NL,13.2,5.2,-3.4,0.3,0.0,22.125
IE,91.17647058823529,70.52941176470588,50.0,42.411764705882355,23.75,22.0
PL,-9.617021276595745,-29.829787234042552,-48.255319148936174,1.619047619047619,7.181818181818182,15.976744186046512
FR,76.17647058823529,41.705882352941174,7.352941176470588,11.588235294117647,0.0,25.6
FI,-17.383333333333333,-45.03333333333333,-68.49166666666666,0.7524752475247525,,24.842105263157894
HU,-2.3333333333333335,-12.0,-19.333333333333332,0.3333333333333333,0.0,
LV,-50.55,-62.15,-71.6,2.2,0.0,27.0
LT,-35.0,-52.0,-68.66666666666667,1.0,,23.0
SE,-28.824074074074073,-59.379629629629626,-84.47222222222223,1.121212121212121,,31.5
HR,45.7,13.6,-6.3,0.0,41.5,
UZ,64.5,31.5,4.5,6.0,,
RS,1.0,-19.0,-47.0,0.0,0.0,
KG,-27.5,-74.0,-114.5,31.5,,
TJ,12.0,-11.0,-28.5,100.5,,
SI,-8.090909090909092,-33.72727272727273,-46.0,0.0,26.75,17.636363636363637
IS,68.0,46.0,37.5,118.0,,73.0
AT,-18.85576923076923,-45.44230769230769,-71.63461538461539,0.0,22.403508771929825,13.615384615384615
SJ,-108.0,-147.0,-167.0,0.0,,74.0
