region_code,avg_high,avg_mean,avg_low,avg_rain,avg_sunshine,avg_speed
RU,19.268456375838927,-22.261744966442954,-59.2751677852349,15.14864864864865,,50.73684210526316
IL,145.2,115.0,85.0,45.6,,
NO,67.93835616438356,31.84931506849315,10.513698630136986,40.64705882352941,17.833333333333332,38.74226804123711
IT,190.5,142.25,94.0,0.0,,
DK,140.5,99.5,63.5,0.0,,
RO,181.6,102.06666666666666,37.8,0.0,,28.77777777777778
GB,125.92857142857143,95.78571428571429,37.42857142857143,49.53846153846154,,
AM,75.0,31.0,-12.0,57.5,,
ES,170.65217391304347,139.04347826086956,107.52173913043478,93.0,28.0,42.45454545454545
EE,107.66666666666667,58.44444444444444,13.666666666666666,16.333333333333332,49.0,35.333333333333336
CH,198.66666666666666,107.66666666666667,20.333333333333332,0.0,107.66666666666667,11.0
AZ,105.0,76.0,50.0,0.0,,
TM,267.0,162.5,81.5,0.0,,
SK,184.5,70.0,-20.5,0.0,110.0,27.0
GL,-18.444444444444443,-56.666666666666664,-115.33333333333333,14.4,,107.0
UA,130.0909090909091,71.54545454545455,14.727272727272727,0.36363636363636365,,21.0
DZ,261.0,206.0,138.0,,,
KZ,67.2,20.0,-18.6,2.0,,
DE,195.32478632478632,106.99145299145299,24.88888888888889,0.008695652173913044,109.55882352941177,22.652173913043477
NL,195.5,123.57142857142857,55.214285714285715,0.0,109.0,28.083333333333332
PL,178.2127659574468,96.68085106382979,26.27659574468085,0.0,103.4,32.09090909090909
FR,188.58823529411765,119.70588235294117,50.705882352941174,0.0,107.0,47.5625
FI,41.61666666666667,2.925,-36.916666666666664,2.623762376237624,,34.94444444444444
HU,186.33333333333334,116.0,46.0,0.0,112.0,
LV,134.05,73.3,22.85,0.55,117.0,52.0
LT,162.66666666666666,88.33333333333333,25.0,0.0,,41.0
SE,88.14545454545454,41.96363636363636,7.927272727272728,8.445544554455445,,49.916666666666664
IE,126.4375,91.375,56.5,92.25,1.8571428571428572,29.2
HR,177.7,117.4,74.2,0.0,105.8,
AL,216.0,153.0,90.0,0.0,,
UZ,222.0,126.0,48.5,0.0,,
RS,172.0,104.0,34.0,0.0,109.0,
KG,92.0,49.5,11.5,0.0,,
TJ,149.5,98.0,41.0,0.0,,
SI,167.63636363636363,91.81818181818181,30.272727272727273,0.0,106.5,18.545454545454547
IS,1.5,-16.5,-46.0,15.0,,43.0
AT,179.22115384615384,95.48076923076923,11.307692307692308,0.0,104.48275862068965,25.045454545454547
SJ,-140.0,-184.0,-211.0,0.0,,15.0
