region_code,avg_high,avg_mean,avg_low,avg_rain,avg_sunshine,avg_speed
RU,222.80794701986756,167.90066225165563,114.94701986754967,11.826666666666666,,32.1578947368421
IL,323.3333333333333,251.66666666666666,179.66666666666666,0.0,122.0,
NO,164.3655172413793,121.37931034482759,83.20689655172414,81.41176470588235,45.833333333333336,41.76288659793814
IT,341.5,280.0,218.75,0.0,,
DK,218.0,184.0,150.0,29.0,,
PT,217.0,160.0,105.0,6.0,,
RO,324.7142857142857,245.07142857142858,166.85714285714286,4.642857142857143,,16.77777777777778
GB,160.73333333333332,130.86666666666667,104.06666666666666,40.142857142857146,,
AM,239.5,171.5,101.5,0.0,,
ES,280.39130434782606,224.95652173913044,169.47826086956522,0.0,110.73684210526316,37.38095238095238
EE,227.66666666666666,169.22222222222223,93.44444444444444,162.11111111111111,165.0,28.555555555555557
CH,211.66666666666666,171.33333333333334,129.0,0.0,110.33333333333333,35.0
AZ,309.0,244.0,176.0,0.0,,
TM,353.0,291.5,229.5,0.0,,
SK,286.0,199.0,95.0,78.0,94.0,25.0
GL,110.625,69.75,35.25,0.0,,42.0
UA,293.1,233.3,177.4,10.1,,26.0
DZ,422.0,353.0,255.0,,,
KZ,295.8,214.6,161.2,22.4,,
DE,209.02564102564102,159.4017094017094,137.4957264957265,22.191304347826087,74.57142857142857,54.47826086956522
NL,176.28571428571428,148.28571428571428,126.92857142857143,96.71428571428571,42.22222222222222,78.58333333333333
PL,266.3829787234043,197.46808510638297,144.9787234042553,66.30952380952381,59.72727272727273,13.348837209302326
FR,204.41176470588235,167.88235294117646,131.23529411764707,2.235294117647059,87.0,62.0625
FI,176.3,129.83333333333334,67.65,4.6138613861386135,,23.944444444444443
HU,343.0,248.66666666666666,181.33333333333334,49.333333333333336,109.0,
LV,249.25,179.4,93.65,0.0,139.0,29.5
LT,250.66666666666666,195.66666666666666,138.66666666666666,0.0,,26.0
SE,184.7570093457944,136.90654205607476,83.90654205607477,67.47422680412372,,43.0
IE,162.75,134.625,106.5,11.5,75.375,73.0
HR,306.6363636363636,246.8181818181818,191.36363636363637,0.2727272727272727,127.81818181818181,
AL,340.0,265.0,190.0,0.0,,
UZ,354.0,288.0,214.0,0.0,,
RS,357.0,271.0,190.0,8.0,131.0,
KG,280.0,225.0,170.5,0.0,,
TJ,335.0,263.0,201.0,0.0,,
SI,283.90909090909093,211.36363636363637,159.36363636363637,56.72727272727273,101.75,26.272727272727273
IS,109.0,83.5,58.0,1.0,,54.5
AT,248.48076923076923,194.3846153846154,139.82692307692307,127.24038461538461,41.95,28.209302325581394
SJ,58.0,34.0,17.0,2.0,,72.0
