region_code,avg_high,avg_mean,avg_low,avg_rain,avg_sunshine,avg_speed
RU,99.21333333333334,58.72,26.9,20.818791946308725,,37.31578947368421
IL,283.2,227.8,172.0,0.0,,
NO,89.75510204081633,58.08843537414966,28.98639455782313,23.92753623188406,40.8,15.25
IT,258.5,208.0,157.5,0.0,,
DK,136.5,126.0,114.5,0.25,,
PT,208.0,186.0,145.0,0.0,,
RO,251.0,152.5,67.07142857142857,0.0,,36.666666666666664
GB,159.73333333333332,104.0,55.8,13.071428571428571,,
AM,120.5,84.5,60.5,278.5,,
ES,258.0,214.69565217391303,171.52173913043478,2.347826086956522,59.5,21.363636363636363
EE,84.55555555555556,49.44444444444444,25.22222222222222,1.1111111111111112,0.0,27.88888888888889
CH,196.0,160.0,136.0,53.666666666666664,6.666666666666667,29.0
TM,314.5,229.0,160.5,0.0,,
SK,174.0,134.0,85.5,63.0,47.0,41.5
GL,8.0,-17.2,-45.8,0.0,,29.666666666666668
UA,194.7,142.1,95.8,1.1,,35.0
DZ,325.0,250.0,187.0,,,
KZ,142.5,90.0,45.0,0.0,,
DE,179.79661016949152,138.14406779661016,117.33898305084746,86.16379310344827,22.606060606060606,36.791666666666664
NL,168.8,132.06666666666666,79.93333333333334,0.06666666666666667,42.333333333333336,28.071428571428573
PL,185.3913043478261,143.17391304347825,112.43478260869566,18.21951219512195,19.636363636363637,27.976744186046513
FR,194.2941176470588,172.1764705882353,150.1764705882353,25.941176470588236,13.0,32.25
FI,57.708333333333336,24.533333333333335,-11.85,1.8383838383838385,,15.857142857142858
HU,243.66666666666666,170.33333333333334,105.33333333333333,0.0,74.0,
LV,89.95,67.5,49.9,202.7,0.0,52.0
LT,140.66666666666666,102.0,72.33333333333333,101.33333333333333,,30.0
SE,91.86238532110092,53.84403669724771,23.724770642201836,15.27,,34.833333333333336
IE,156.875,118.875,80.875,71.66666666666667,6.555555555555555,42.4
HR,216.0909090909091,173.36363636363637,137.9090909090909,0.0,53.72727272727273,
AL,262.0,187.0,111.0,0.0,,
UZ,285.0,191.0,118.5,0.0,,
RS,265.0,186.0,109.0,0.0,79.0,
KG,266.0,182.5,96.5,0.0,,
TJ,290.5,194.5,104.5,0.0,,
SI,198.1818181818182,154.8181818181818,122.72727272727273,4.818181818181818,24.0,37.1
IS,79.0,65.0,53.5,214.0,,48.0
AT,211.33333333333334,159.2095238095238,106.71428571428571,91.81904761904762,39.416666666666664,16.056603773584907
SJ,3.0,-21.0,-31.0,0.0,,17.0
